Date,Product,Category,Units_Sold,Price,Revenue,Region,Rating,Discount,Final Price
2025-01-01,Mobile,Electronics,115,30907.0,3554305.0,North,1,16,25961.879999999997
2025-01-02,Watch,Clothing,108,39310.0,4245480.0,South,5,20,31448.0
2025-01-03,Headphones,Clothing,64,61988.0,3967232.0,North,1,13,53929.56
2025-01-04,Bag,Accessories,104,83079.0,8640216.0,North,3,14,71447.94
2025-01-05,Mobile,Electronics,72,39027.0,2809944.0,North,1,6,36685.38
2025-01-06,Tablet,Electronics,137,107388.0,14712156.0,West,2,5,102018.59999999999
2025-01-07,Shoes,Footwear,124,5855.0,726020.0,East,4,20,4684.0
2025-01-08,Mobile,Clothing,41,45059.0,1847419.0,East,3,7,41904.869999999995
2025-01-09,Headphones,Accessories,76,53825.0,4090700.0,South,5,10,48442.5
2025-01-10,Bag,Electronics,131,52298.0,6851038.0,South,4,10,47068.200000000004
2025-01-11,Watch,Footwear,110,15451.0,1699610.0,North,5,18,12669.820000000002
2025-01-12,Headphones,Electronics,96,726.0,69696.0,East,2,20,580.8000000000001
2025-01-13,Headphones,Electronics,35,68960.0,2413600.0,North,1,18,56547.200000000004
2025-01-14,Shoes,Accessories,126,48037.0,6052662.0,North,5,19,38909.97
2025-01-15,Laptop,Footwear,141,11736.0,1654776.0,South,1,5,11149.199999999999
2025-01-16,Bag,Electronics,55,28741.0,1580755.0,South,4,20,22992.800000000003
2025-01-17,Pants,Accessories,33,79283.0,2616339.0,West,4,14,68183.38
2025-01-18,Headphones,Accessories,44,51227.0,2253988.0,South,4,14,44055.22
2025-01-19,Laptop,Footwear,45,34731.0,1562895.0,West,2,19,28132.11
2025-01-20,Pants,Electronics,15,8912.0,133680.0,West,2,6,8377.279999999999
2025-01-21,Bag,Accessories,5,104301.0,521505.0,East,1,12,91784.88
2025-01-22,Shirt,Accessories,50,65655.0,3282750.0,East,1,8,60402.600000000006
2025-01-23,Tablet,Accessories,105,74944.0,7869120.0,North,5,19,60704.64000000001
2025-01-24,Laptop,Accessories,94,5309.0,499046.0,North,4,10,4778.1
2025-01-25,TV,Electronics,114,49468.0,5639352.0,South,4,18,40563.76
2025-01-26,Shirt,Electronics,61,100937.0,6157157.0,North,1,16,84787.08
2025-01-27,Tablet,Electronics,5,54815.0,274075.0,South,2,16,46044.6
2025-01-28,Shoes,Accessories,67,82703.0,5541101.0,West,4,9,75259.73
2025-01-29,Mobile,Electronics,59,29959.0,1767581.0,North,4,19,24266.79
2025-01-30,Watch,Electronics,119,85908.0,10223052.0,West,1,8,79035.36
2025-01-31,TV,Electronics,147,60312.0,8865864.0,West,3,6,56693.28
2025-02-01,Shoes,Electronics,57,102671.0,5852247.0,West,3,16,86243.64
2025-02-02,Bag,Accessories,141,26789.0,3777249.0,East,3,9,24377.99
2025-02-03,Shoes,Footwear,61,30215.0,1843115.0,West,3,12,26589.2
2025-02-04,Mobile,Electronics,121,29209.0,3534289.0,East,1,19,23659.29
2025-02-05,Bag,Clothing,39,83509.0,3256851.0,North,3,8,76828.28
2025-02-06,TV,Electronics,67,62246.0,4170482.0,East,5,10,56021.4
2025-02-07,Mobile,Electronics,29,106861.0,3098969.0,East,5,18,87626.02
2025-02-08,Pants,Electronics,94,26343.0,2476242.0,West,4,6,24762.42
2025-02-09,Watch,Clothing,79,6354.0,501966.0,West,3,19,5146.740000000001
2025-02-10,TV,Electronics,42,22004.0,924168.0,West,2,8,20243.68
2025-02-11,Pants,Electronics,134,41888.0,5612992.0,North,3,20,33510.4
2025-02-12,Tablet,Electronics,139,64488.0,8963832.0,East,1,6,60618.719999999994
2025-02-13,TV,Electronics,95,51395.0,4882525.0,West,4,16,43171.799999999996
2025-02-14,Tablet,Electronics,21,20781.0,436401.0,East,4,12,18287.28
2025-02-15,Bag,Clothing,132,52848.0,6975936.0,West,4,20,42278.4
2025-02-16,Pants,Electronics,112,30287.0,3392144.0,West,1,15,25743.95
2025-02-17,Watch,Clothing,29,50130.0,1453770.0,North,5,15,42610.5
2025-02-18,Mobile,Accessories,92,33181.0,3052652.0,West,3,5,31521.949999999997
2025-02-19,Headphones,Accessories,33,69498.0,2293434.0,South,1,6,65328.119999999995
2025-02-20,Shoes,Electronics,67,46367.0,3106589.0,East,1,12,40802.96
2025-02-21,Shirt,Footwear,118,75504.0,8909472.0,North,3,6,70973.76
2025-02-22,Watch,Electronics,53,43608.0,2311224.0,South,4,5,41427.6
2025-02-23,Pants,Clothing,85,39699.0,3374415.0,South,3,14,34141.14
2025-02-24,Headphones,Electronics,88,52469.0,4617272.0,West,2,7,48796.17
2025-02-25,Watch,Accessories,109,38759.0,4224731.0,East,2,10,34883.1
2025-02-26,Pants,Clothing,122,114326.0,13947772.0,North,1,13,99463.62
2025-02-27,Laptop,Electronics,90,74519.0,6706710.0,North,5,19,60360.39000000001
2025-02-28,Laptop,Electronics,67,112125.0,7512375.0,South,2,11,99791.25
2025-03-01,Tablet,Accessories,108,95517.0,10315836.0,North,4,18,78323.94
2025-03-02,Watch,Accessories,53,96547.0,5116991.0,South,1,12,84961.36
2025-03-03,Laptop,Electronics,75,48987.0,3674025.0,North,4,16,41149.08
2025-03-04,Pants,Footwear,5,35688.0,178440.0,South,1,12,31405.44
2025-03-05,Tablet,Electronics,145,74641.0,10822945.0,South,4,15,63444.85
2025-03-06,Pants,Electronics,127,74863.0,9507601.0,East,2,6,70371.22
2025-03-07,Tablet,Electronics,66,22631.0,1493646.0,North,1,6,21273.14
2025-03-08,Watch,Electronics,36,61881.0,2227716.0,West,3,17,51361.229999999996
2025-03-09,Headphones,Footwear,33,63683.0,2101539.0,South,4,5,60498.85
